depth,water_saturation,porosity,gamma_ray,permeability
9632,0.730400026,0.218894005,51.58599854,20.70486795
9632.5,0.708400011,0.222350001,52.13199997,22.18231407
9633,0.698599994,0.223501995,52.25500107,22.69246269
9633.5,0.685299993,0.224654004,52.91999817,22.77474731
9634,0.641499996,0.232719004,51.82899857,26.59814737
9634.5,0.60769999,0.240207002,51.35800171,30.57511942
9635,0.555800021,0.255760014,51.07799912,40.29534663
9635.5,0.571699977,0.251727998,51.85499954,37.57421768
9636,0.51819998,0.269008994,52.9090004,50.32284327
9636.5,0.513800025,0.266128987,53.67699814,47.99509382
9637,0.4903,0.270161003,53.9469986,51.27798512
9637.5,0.481900007,0.271889001,53.55199814,52.73688344
9638,0.488799989,0.266705006,52.93600082,48.45386088
9638.5,0.509599984,0.260369003,52.58599854,53.41064726
9639,0.5255,0.255760014,52.57899857,49.37403926
9639.5,0.532999992,0.252880007,52.27299881,46.9741345
9640,0.521700025,0.249423996,53.99700165,44.2143486
9640.5,0.563300014,0.243663997,54.97499847,39.89486575
9641,0.624499977,0.228110999,55.30899811,29.84546887
9641.5,0.651899993,0.226382002,55.17900085,28.86285948
9642,0.697399974,0.210253,52.68099976,20.84974261
9642.5,0.680000007,0.191819996,51.47499847,13.92412996
9643,0.657199979,0.184908003,50.95299912,10.18569933
9643.5,0.629800022,0.179723993,51.99900055,8.987779268
9644,0.615400016,0.186059997,52.52099991,10.46788582
9644.5,0.587100029,0.202188999,53.20700073,15.09102828
9645,0.565599978,0.217741996,52.97000122,20.90891124
9645.5,0.67869997,0.209101006,53.24300003,17.49656043
9646,0.693599999,0.205069006,53.75799942,16.06001147
9646.5,0.762300015,0.185484007,53.5890007,10.32604956
9647,0.698400021,0.168202996,53.55599976,6.715125644
9647.5,0.641300023,0.181452006,53.83300018,11.1213347
9648,0.585600019,0.197580993,54.84700012,16.17647266
9648.5,0.530600011,0.216013998,56.28300095,23.95109873
9649,0.501999974,0.226382002,57.83599854,29.43807795
9649.5,0.584699988,0.210829005,59.22399902,21.52279564
9650,0.773999989,0.176266998,59.43199921,9.789433082
9650.5,0.708000004,0.169250995,65.54000092,7.635790459
9651,0.726999998,0.164519996,65.73200226,6.740293688
9651.5,0.784500003,0.150854006,68.125,4.602213086
9652,0.791800022,0.149277002,68.52500153,4.394256087
9652.5,0.795700014,0.150328994,67.57299805,4.532154339
9653,0.771499991,0.155058995,66.55500031,5.194015401
9653.5,0.6875,0.173981994,65.22200012,6.710278063
9654,0.657400012,0.181866005,64.16500092,8.1550813
9654.5,0.649100006,0.18502,64.26300049,8.795970193
9655,0.652999997,0.18502,63.84199905,8.795970193
9655.5,0.656499982,0.183442995,63.95399857,8.470841527
9656,0.658900023,0.182916999,62.87799835,8.36449011
9656.5,0.651000023,0.184494004,62.24499893,8.686473518
9657,0.639299989,0.18502,62.24900055,8.795970193
9657.5,0.610199988,0.193955004,63.02799988,10.82445223
9658,0.602199972,0.196058005,64.33399963,11.35046683
9658.5,0.656700015,0.179238007,64.96499634,7.536119527
9659,0.641600013,0.180814996,64.52500153,7.832256161
9659.5,0.643100023,0.178186998,63.97499847,7.343612662
9660,0.636500001,0.177661002,64.91500092,7.248707643
9660.5,0.617299974,0.180289,66.68900299,7.732500024
9661,0.609399974,0.182392001,67.56900024,8.137308571
9661.5,0.594699979,0.186070994,67.94000244,8.884673895
9662,0.626699984,0.177661002,66.88200378,7.248707643
9662.5,0.628099978,0.178186998,67.78800201,7.343612662
9663,0.619300008,0.179238007,69.50800324,7.536119527
9663.5,0.64349997,0.171352997,69.6989975,12.45014364
9664,0.658599973,0.167147994,70.6969986,11.1608173
9664.5,0.691200018,0.158739001,70.97499847,8.893216805
9665,0.673300028,0.162417993,71.70300293,9.836510729
9665.5,0.666999996,0.163994998,72.35800171,10.26373667
9666,0.688199997,0.157161996,71.54799652,8.510988663
9666.5,0.721400023,0.150328994,69.7559967,6.999047791
9667,0.709399998,0.153482005,69.21199799,7.668381274
9667.5,0.788800001,0.137188003,69.78700256,4.679956755
9668,0.746399999,0.146124005,71.61199951,3.321026255
9668.5,0.711799979,0.153482005,71.39399719,4.122401163
9669,0.738099992,0.147699997,71.24900055,3.481541281
9669.5,0.764800012,0.143494993,70.60399628,3.066049097
9670,0.764299989,0.142969996,69.39499664,3.016997769
9670.5,0.789300025,0.138765007,67.77700043,2.645630855
9671,0.741900027,0.147699997,67.02799988,3.481541281
9671.5,0.772700012,0.142969996,66.51799774,3.016997769
9672,0.755999982,0.146124005,66.47299957,3.321026255
9672.5,0.783900023,0.140866995,66.45800018,2.826559364
9673,0.734499991,0.152430996,67.01799774,5.801758925
9673.5,0.74000001,0.150328994,68.5490036,5.905265225
9674,0.769900024,0.144547001,70.10900116,4.969254904
9674.5,0.789699972,0.139816001,71.15899658,4.292413598
9675,0.727100015,0.152957007,71.38400269,6.373185612
9675.5,0.710699976,0.157161996,71.63500214,7.180926144
9676,0.715499997,0.156636,71.76000214,7.075779179
9676.5,0.692300022,0.161366999,72.10600281,8.065588948
9677,0.68660003,0.161891997,71.47299957,8.181689185
9677.5,0.724699974,0.152957007,69.75,6.373185612
