STOOIP,Net pay,Porosity,Swi,Permeability,API,Visc,P,Actual RF
150,40.2,0.32,0.28,600,29,3,2215,30.7
26,53.1,0.32,0.28,350,28,1.2,4093,40.4
5,25.7,0.3,0.28,63,28,1.3,4175,12
21,119.1,0.33,0.26,1500,30,1,8216,24.8
315,289.6,0.23,0.18,250,40,0.29,2981,48.9
1385,138.4,0.29,0.28,1200,29,2,10500,34.9
380,804.5,0.09,0.23,38,33.6,2,6216,32.6
104,51.5,0.29,0.31,400,25.6,1.24,5413,28.8
152,32.2,0.3,0.23,700,34,0.7,3000,31.6
1104,241.4,0.25,0.29,700,27,6,12000,25
73,67.6,0.25,0.17,300,42,0.2,3212,41.1
2070,77.2,0.28,0.28,750,28,1.2,11056,36
75,280,0.2,0.19,15,39,0.16,3685,17.3
492,804.5,0.21,0.2,200,38,0.4,2604,37.2
144,118,0.29,0.24,500,32.7,0.29,9394,46
161,347.5,0.16,0.25,50,32,0.68,2650,13
139,321.8,0.18,0.16,50,42,0.17,6838,32.7
289,245.2,0.3,0.21,750,36,0.3,11000,58.8
1500,54.7,0.27,0.31,500,19,0.8,11000,20.8
340.3,160.9,0.16,0.16,240,42.2,0.5,8900,62
60.74,66.5,0.26,0.24,1000,32.4,0.61,3100,30
46.89,73.9,0.24,0.24,1000,32.4,0.61,3150,30
45.53,49,0.34,0.3,5000,26.5,5.8,1409,37.8
160,34.1,0.24,0.22,250,35,0.49,1960,13.1
25,24.8,0.29,0.35,1206,13,3,1756,15.9
120,193.1,0.19,0.24,20,33,0.26,6180,14.2
314,193.1,0.23,0.18,80,40,0.4,2969,53.8
73,289.6,0.23,0.19,50,40,0.43,3239,34.2
88,32.2,0.2,0.28,50,27,0.8,2314,43.2
279,141.6,0.16,0.19,300,38,2.23,1672,55
250,154.5,0.2,0.31,80,24.5,1.95,5050,37.6
184,469.8,0.12,0.24,35,33,0.25,8406,31.7
187,482.7,0.31,0.32,6000,23,5.75,1365,40.4
2022,643.6,0.19,0.23,200,34.5,0.7,5000,38.4
99.9,273.5,0.23,0.19,500,38,0.49,7421,49
