y,x1,x2,x3
12.99802673,1,1,1
13.45012071,1,1,2
13.89838743,1,1,3
14.34286568,1,1,4
14.78360955,1,1,5
15.2206882,1,1,6
15.65418561,1,1,7
16.08420026,1,1,8
16.51084469,1,1,9
16.93424511,1,1,10
12.35454088,1,2,1
12.77188395,1,2,2
13.18643829,1,2,3
13.5983792,1,2,4
14.00789265,1,2,5
14.41517456,1,2,6
14.82042997,1,2,7
15.22387229,1,2,8
15.62572242,1,2,9
16.02620789,1,2,10
11.42556199,1,3,1
11.82402279,1,3,2
12.22183225,1,3,3
12.61923524,1,3,4
13.0164786,1,3,5
13.41381013,1,3,6
13.81147763,1,3,7
14.20972793,1,3,8
14.60880591,1,3,9
15.00895352,1,3,10
10.41040885,1,4,1
10.81340517,1,4,2
11.21817001,1,4,3
11.62492428,1,4,4
12.03388138,1,4,5
12.44524638,1,4,6
12.85921516,1,4,7
13.2759737,1,4,8
13.69569732,1,4,9
14.11854997,1,4,10
9.544683611,1,5,1
9.974237596,1,5,2
10.40733813,1,5,3
10.84409777,1,5,4
11.28461499,1,5,5
11.72897375,1,5,6
12.17724325,1,5,7
12.62947754,1,5,8
13.08571543,1,5,9
13.54598025,1,5,10
9.010279774,1,6,1
9.478606224,1,6,2
9.950936265,1,6,3
10.42723111,1,6,4
10.90743669,1,6,5
11.39148381,1,6,6
11.87928851,1,6,7
12.37075231,1,6,8
12.86576267,1,6,9
13.36419337,1,6,10
8.865905059,1,7,1
9.37074578,1,7,2
9.878551576,1,7,3
10.38914713,1,7,4
10.90234648,1,7,5
11.41795372,1,7,6
11.93576379,1,7,7
12.45556329,1,7,8
12.97713131,1,7,9
13.50024032,1,7,10
9.024657047,1,8,1
9.550143409,1,8,2
10.07645745,1,8,3
10.60335429,1,8,4
11.1305871,1,8,5
11.65790808,1,8,6
12.18506943,1,8,7
12.71182431,1,8,8
13.23792785,1,8,9
13.76313809,1,8,10
9.287216952,1,9,1
9.809931163,1,9,2
10.33105319,1,9,3
10.85036212,1,9,4
11.36764455,1,9,5
11.88269543,1,9,6
12.39531886,1,9,7
12.90532887,1,9,8
13.41255013,1,9,9
13.9168187,1,9,10
9.417982622,1,10,1
9.915902532,1,10,2
10.41045223,1,10,3
10.90151915,1,10,4
11.38900485,1,10,5
11.87282532,1,10,6
12.35291141,1,10,7
12.82920902,1,10,8
13.30167938,1,10,9
13.77029916,1,10,10
9.235060556,2,1,1
9.695971368,2,1,2
10.15305492,2,1,3
10.60635001,2,1,4
11.05591071,2,1,5
11.50180619,2,1,6
11.94412044,2,1,7
12.38295191,2,1,8
12.81841318,2,1,9
13.25063043,2,1,10
8.679743034,2,2,1
9.10590294,2,2,2
9.529274109,2,2,3
9.950031852,2,2,4
10.36836214,2,2,5
10.78446088,2,2,6
11.19853312,2,2,7
11.61079227,2,2,8
12.02145923,2,2,9
12.43076154,2,2,10
7.838932474,2,3,1
8.246210107,2,3,2
8.6528364,2,3,3
9.059056228,2,3,4
9.465116419,2,3,5
9.871264778,2,3,6
10.27774911,2,3,7
10.68481625,2,3,8
11.09271106,2,3,9
11.5016755,2,3,10
6.911947664,2,4,1
7.323760814,2,4,2
7.737342488,2,4,3
8.152913593,2,4,4
8.570687529,2,4,5
8.990869354,2,4,6
9.413654968,2,4,7
9.839230345,2,4,8
10.2677708,2,4,9
10.69944028,2,4,10
6.134390753,2,5,1
6.572761571,2,5,2
7.014678938,2,5,3
7.460255414,2,5,4
7.90958946,2,5,5
8.362765061,2,5,6
8.819851385,2,5,7
9.280902516,2,5,8
9.74595724,2,5,9
10.21503889,2,5,10
5.688155245,2,6,1
6.165298528,2,6,2
6.646445402,2,6,3
7.131557083,2,6,4
7.620579488,2,6,5
8.113443447,2,6,6
8.610064978,2,6,7
9.110345616,2,6,8
9.614172804,2,6,9
10.12142034,2,6,10
5.631948859,2,7,1
6.145606413,2,7,2
6.662229041,2,7,3
7.181641432,2,7,4
7.703657613,2,7,5
8.228081683,2,7,6
8.754708584,2,7,7
9.283324915,2,7,8
9.813709771,2,7,9
10.34563561,2,7,10
5.878869175,2,8,1
6.413172369,2,8,2
6.948303241,2,8,3
7.484016913,2,8,4
8.02006656,2,8,5
8.556204374,2,8,6
9.092182552,2,8,7
9.627754265,2,8,8
10.16267464,2,8,9
10.69670171,2,8,10
6.229597408,2,9,1
6.761128452,2,9,2
7.291067308,2,9,3
7.819193071,2,9,4
8.345292339,2,9,5
8.869160054,2,9,6
9.390600317,2,9,7
9.909427154,2,9,8
10.42546525,2,9,9
10.93855066,2,9,10
6.448531408,2,10,1
6.955268151,2,10,2
7.45863468,2,10,3
7.958518438,2,10,4
8.454820962,2,10,5
8.947458269,2,10,6
9.436361188,2,10,7
9.921475637,2,10,8
10.40276283,2,10,9
