Oil Rate Cum,sed18ss_csv,seh5n_csv,sef19n_csv,sda5n_csv,sec10ls_csv,sec1n_csv,sec24_csv,sec34ls_csv,sed24ls_csv,sec7_csv,sec20_csv,sed3ls_csv,raa4ss_csv,seh8n_csv,sec4_csv,sed7n_csv,seb7ls_csv,seh3st3n_csv,seb31_csv,sed24ss_csv,sec34ss_csv,raa4_csv,raa1_csv,raa3_csv,sed21ls_csv,sef12n_csv,raa2_csv,sed2ls_csv,seg25st_csv,see8n_csv,see5ls_csv,sed12ls_csv,sec32n_csv,see15ss_csv,sda3ss_csv,raa9_csv,raa8_csv,sed14ls_csv,sed10ss_csv,sec11_csv,sec38_csv,sea2_csv,sed28ls_csv,seg3st_csv,seb6st1ls_csv,sed8ss_csv,sed31ls_csv,sed9ls_csv,seh6n_csv,sef9n_csv,seb8_csv
7168.59,0,22.23,188.75,0,0,0,293.55,0,101.61,0,0,0,0,149.55,0,215.22,105,18.38,340.26,0,0,530.72,283.31,35,201.13,0,449.65,0,250.61,332.62,96,0,0,55.21,139.36,96.94,0,152.08,545.88,453.92,288.47,558.1,0,202.3,0,0,251.23,273.83,106.41,400.6,30.67
8010.77,0,0,383.89,0,320.98,0,348.28,0,206.66,253.56,300.19,0,0,158.42,486.82,31.92,33.37,19.47,403.7,289.72,401.82,134.93,72.03,8.9,409.08,0,114.32,0,297.33,49.33,14.24,0,0,112.28,44.29,24.65,0,74.11,391.29,221.19,342.25,662.15,0,411.46,0,0,308.72,556.95,112.72,0,9.75
8945.25,0,182.33,175.38,0,34,0,332.05,0,147.77,26.86,65.59,0,0,169.16,113.45,252.14,123.01,20.79,384.88,0,42.57,600.32,320.46,39.59,292.51,0,508.62,0,283.47,376.24,112.47,0,0,84.75,180.15,109.65,0,202.74,617.47,531.79,326.3,631.29,0,310.55,0,0,334.93,398.24,124.66,453.14,35.93
9218.95,0,257.71,314.27,0,268.53,0,228.18,0,168.25,96.96,237.15,0,0,81.38,181.4,105.81,74.21,29.5,159.05,100.67,42.55,0,154.46,17.67,274.15,0,236.07,89.6,278.76,543.86,285.36,58.28,0,215.37,270.15,36.76,10.98,102.78,585.27,733.74,123.48,819.75,15.7,327.75,80.96,136.84,478.99,140.18,227.19,629.23,0
9248.98,0,295,450.84,0,0,0,0,0,0,188.05,318.76,0,257.06,222.38,575.83,0,206.55,42.76,0,390.85,219.38,0,0,33.2,610.44,203.82,687.66,0,290.57,380.56,242.27,0,0,0,0,87.02,56.93,258.23,440.31,0,193.4,900.05,0,472.02,212.25,0,0,289.66,168.62,434.41,120.1
9772.89,0,224.99,249.56,0,255.21,0,265.65,0,154.05,0,223.77,0,0,216.19,387.08,311.12,151.78,26.58,286.93,0,37.15,767.2,409.55,50.59,315.57,0,650.01,0,219.06,474.97,137.08,0,0,0,201.45,140.14,0,238.61,482.78,704.19,261.05,493.58,0,303.14,0,0,380.9,429.64,153.82,169.5,0
10468,417.62,172.67,379.29,0,0,0,243.75,0,204.19,0,208.39,0,0,165.92,0,238.77,106.78,20.4,220.2,23.85,0,588.79,314.31,38.83,512.62,0,498.85,0,293.77,369.02,106.51,0,0,0,154.61,107.55,24.44,305.61,639.9,628.17,139.72,586.07,0,406.53,0,0,504.86,888.91,118.05,805.03,34.02
10487.11,0,212.12,172.91,0,229.43,0,233.39,0,138.49,181.24,201.16,0,0,203.83,347.97,293.33,143.11,25.06,177.39,194.14,287.22,723.33,386.13,47.7,274.13,0,612.84,172.79,199.24,453.34,130.84,0,0,75.24,189.93,132.12,30.02,207.28,434,618.66,229.35,443.71,0,275.72,156.13,71.1,342.42,373.22,145.02,680.26,41.8
10657.2,0,167.1,266.76,0,266.16,108.4,226.17,0,162.36,58.92,63.84,0,346.05,154.53,405.84,236.73,100.43,19.13,215.26,177.36,0,0,250.5,32.11,258.56,0,412.54,195.51,177.46,405.34,286.52,0,0,434.25,89.77,118.34,19.96,227.59,551.99,709.31,269.42,676.89,0,208.65,109.57,298.59,446.11,309.75,147.31,1016.79,29.33
11436.61,0,227.93,379.1,0,0,0,343.93,0,204.08,0,296.44,0,0,300.37,0,324.2,158.17,36.92,398.65,0,0,799.46,426.77,52.72,403.97,0,677.34,0,293.62,431.46,112.48,0,0,110.88,256.57,146.03,0,305.45,639.57,911.7,337.97,653.88,0,406.32,0,0,504.6,549.99,213.72,486.12,46.2
11558.67,0,269.17,296.76,0,165.42,0,323.08,0,191.71,0,188.55,0,0,258.65,291.03,372.22,181.59,31.8,343.28,0,281.63,917.88,489.99,60.53,379.48,0,777.67,0,275.82,575.27,166.03,0,0,27.12,241.02,167.66,0,286.94,600.8,856.43,317.49,614.24,0,381.68,0,0,474.01,516.65,184.03,0,53.04
11575.35,360.24,252.99,306.81,0,0,0,0,0,165.17,0,0,0,0,243.1,0,349.84,156.45,29.88,322.64,231.55,0,862.69,460.53,56.89,414.66,0,730.92,0,237.63,540.68,156.05,0,0,0,226.53,157.58,35.8,359.58,517.62,0,0,1764,0,328.84,305.24,0,408.39,719.04,172.97,651.19,49.85
11691.69,0,209.43,413.27,0,330.18,0,374.93,0,222.47,0,296.23,0,0,201.24,559.01,289.61,141.29,24.74,267.09,0,105.74,714.16,381.24,47.1,440.38,0,605.07,0,320.08,447.59,129.18,0,0,0,187.53,130.45,0,332.98,697.22,993.87,368.44,712.81,0,442.94,0,0,550.08,599.56,143.19,0,12.59
11715.58,380.06,284.63,345.18,0,0,0,313.16,0,185.82,0,234.27,0,0,273.5,0,393.59,176.02,33.62,362.99,0,0,970.57,518.12,64.01,466.51,0,822.32,0,267.35,608.3,175.56,0,0,0,254.85,177.28,40.28,278.12,582.35,807.07,179.51,0,0,369.96,0,0,459.45,707.84,194.59,732.62,56.08
11921.74,371.02,260.56,315.99,0,0,0,0,0,170.11,0,0,0,0,250.37,0,360.31,161.14,30.78,332.3,238.48,0,888.51,474.31,58.59,427.07,0,752.79,0,244.74,556.86,160.72,0,0,0,233.31,162.29,36.87,370.34,533.11,0,0,1816.78,0,338.68,314.38,0,420.61,740.56,178.14,670.68,51.34
11926.51,374.46,226.12,329.07,0,30.57,0,298.54,0,177.15,0,255.24,0,0,211.85,111.28,375.22,167.8,25.37,346.04,5.17,38.27,925.27,493.93,61.02,444.74,0,783.93,0,254.87,579.9,167.37,0,0,0,242.96,169.01,38.4,265.14,555.17,769.4,171.13,567.59,0,352.69,0,0,438.01,771.2,150.73,698.43,53.47
11941.95,367.61,258.16,313.09,0,0,0,0,0,168.54,0,0,0,0,248.07,0,356.99,159.65,30.49,329.24,236.28,0,880.33,469.95,58.05,423.14,0,745.86,0,242.49,551.74,159.24,136.78,0,0,231.16,160.8,29.68,366.93,528.2,0,0,1800.07,0,335.57,311.48,0,416.74,733.74,176.5,664.51,50.87
11976.39,377.11,273.26,331.4,0,36.94,0,300.66,0,178.4,0,235.63,0,0,262.58,0,377.87,168.99,32.28,348.49,0,0,931.82,497.43,61.45,447.89,0,789.48,0,256.67,584.01,168.55,0,0,0,244.68,170.21,38.67,267.02,559.1,774.84,172.35,571.6,0,355.19,0,0,441.11,776.66,186.83,703.37,53.85
